Date,Ticker,Sector,Entry_BL,Entry_D,Exit,Return_BL,Return_D,Entry_Time_D
2024-03-26,OPEN,Real Estate,2.9700000286102295,2.9649999141693115,2.9000000953674316,0.0235690008648092,0.0219223678527797,14:30:00
2024-03-27,OPEN,Real Estate,2.9700000286102295,2.9049999713897705,2.9549999237060547,0.0050505403231238,-0.017211687713843207,14:30:00
2024-04-04,OPEN,Real Estate,2.940000057220459,2.9375,2.765000104904175,0.05952379214636241,0.058723368543259644,14:30:00
2024-04-09,OPEN,Real Estate,2.7300000190734863,2.694999933242798,2.75,-0.00732600028819828,-0.020408188541593958,14:30:00
2024-04-11,OPEN,Real Estate,2.490000009536743,2.4100000858306885,2.4574999809265137,0.013052220275403141,-0.019709499337819625,14:30:00
2024-04-15,OPEN,Real Estate,2.369999885559082,2.265000104904175,2.194999933242798,0.07383964589306373,0.03090515161999891,14:30:00
2024-04-18,OPEN,Real Estate,2.1600000858306885,2.182499885559082,2.1600000858306885,0.0,0.01030918712860774,14:30:00
2024-04-29,OPEN,Real Estate,2.2337000370025635,2.1982998847961426,2.122499942779541,0.04978291282666744,0.03448116544100661,14:30:00
2024-05-03,OPEN,Real Estate,2.380000114440918,2.3949999809265137,2.2100000381469727,0.07142860005024822,0.07724423559618283,14:30:00
2024-05-10,OPEN,Real Estate,2.319999933242798,2.259999990463257,2.315000057220459,0.0021551190371588724,-0.024336312827120052,14:30:00
2024-05-13,OPEN,Real Estate,2.369999885559082,2.4749999046325684,2.490000009536743,-0.05063296614858408,-0.0060606486796619405,14:30:00
2024-05-23,OPEN,Real Estate,2.2300000190734863,2.1500000953674316,2.115000009536743,0.05156951056194296,0.016279108966600776,14:30:00
2024-05-31,OPEN,Real Estate,2.180000066757202,2.125,2.184999942779541,-0.00229352104093111,-0.028235267190372244,14:30:00
2024-06-03,OPEN,Real Estate,2.2100000381469727,2.180000066757202,2.180000066757202,0.013574647453365974,0.0,14:30:00
2024-06-12,OPEN,Real Estate,2.319000005722046,2.384999990463257,2.234999895095825,0.036222557317358156,0.0628931219988374,14:30:00
2024-06-21,OPEN,Real Estate,1.8600000143051147,1.8299000263214111,1.8899999856948853,-0.016129016752173694,-0.032843302097924514,14:30:00
2024-06-28,OPEN,Real Estate,1.909999966621399,1.8299000263214111,1.8300000429153442,0.04188477754141883,-5.4656862393824646e-05,14:30:00
2024-07-05,OPEN,Real Estate,1.809999942779541,1.774999976158142,1.7599999904632568,0.027624283920971483,0.008450696279642565,14:30:00
2024-07-08,OPEN,Real Estate,1.7699999809265137,1.7999999523162842,1.8200000524520874,-0.028248628284956813,-0.011111167036458309,14:30:00
2024-07-09,OPEN,Real Estate,1.8200000524520874,1.774999976158142,1.899999976158142,-0.04395600076948939,-0.07042253615718541,14:30:00
2024-07-11,OPEN,Real Estate,2.059999942779541,2.04259991645813,2.059999942779541,0.0,-0.008518568017755917,14:30:00
2024-07-18,OPEN,Real Estate,2.7699999809265137,2.8499999046325684,2.569999933242798,0.07220218377648491,0.09824560728393043,14:30:00
2024-07-22,OPEN,Real Estate,2.5199999809265137,2.3907999992370605,2.515000104904175,0.0019840778016595824,-0.051949182577692966,14:30:00
2024-07-26,OPEN,Real Estate,2.609999895095825,2.484100103378296,2.515000104904175,0.036398388509575975,-0.012439112853727554,14:30:00
2024-07-30,OPEN,Real Estate,2.515000104904175,2.365000009536743,2.3499999046325684,0.06560643872334677,0.006342539045956718,14:30:00
