,PnL_Baseline,PnL_VariantA,PnL_VariantB
2023-03-14,12212.66915198466,15315.42705247621,19124.148484543864
2023-03-15,-448.5687315104368,416.52019128213453,149.86493925277466
2023-03-16,590.1685638212373,1266.4914270328052,1325.9120594250967
2023-03-17,922.5291288420169,2500.121838999317,2296.7530446812357
2023-03-20,1862.2755711752116,2060.358792670758,2299.854646450669
2023-03-21,-859.6545399390541,-639.9110931294666,-678.502048510749
2023-03-22,4466.048111707606,6478.354592451866,6050.094182682223
2023-03-23,3936.171673417764,5258.557425261936,5065.144695241367
2023-03-24,294.5130289027573,496.09407835136875,350.5675518636396
2023-03-27,4816.570953094589,4271.042747962581,3949.182787405831
2023-03-28,-33.20851773229087,-110.94435893897554,-31.727209509695342
2023-03-29,-3072.2085896247895,-1781.2021048675815,-1922.2294260275462
2023-03-30,2535.448940515661,3621.3030715036894,3395.668891535379
2023-03-31,0.0,0.0,0.0
2023-04-03,859.9545778352972,1229.2000902192576,915.3303948641275
2023-04-04,5606.78085363759,6931.950080891824,5798.757863634987
2023-04-05,1018.8192715604719,1306.4729005069464,1224.9530972701941
2023-04-06,-1898.223851562056,-1106.123328471681,-1236.109203401725
2023-04-07,0.0,0.0,0.0
2023-04-10,694.8998197258566,1042.3497295887846,1391.9772109404253
2023-04-11,960.5150035879376,715.6760761839139,663.6802518516197
2023-04-12,16898.385463405797,24074.705238190858,31020.855866284026
2023-04-13,637.6247606756478,818.8124995471134,653.3279881720695
2023-04-14,4688.073948853948,4150.110911748292,3916.4412235302384
2023-04-17,-116.5968383566794,47.06591876993832,-18.312291202146056
2023-04-18,2024.6595338077088,1552.7578022753698,2881.421998043549
2023-04-19,327.34858998634417,285.8736901958011,344.62041955968976
2023-04-20,1135.174368337919,567.5871841689595,751.7686322741638
2023-04-21,497.4697694428035,1091.7781600926905,931.9590370902034
2023-04-24,2039.8735473161369,3262.253303058712,2443.2133270642817
2023-04-25,2150.7677542474116,1717.019741418251,1979.4999046156263
2023-04-26,7819.2748498781175,9532.644903910586,9271.997728436836
2023-04-27,-82.12214487377673,70.52386358449849,117.24512406149236
2023-04-28,-161.41808375847222,-0.3521871618987973,-88.32955268398396
2023-05-01,2557.1906186844517,4224.284877141478,4037.9013235034254
2023-05-02,3155.4471755120358,3588.973113385943,3203.931702641952
2023-05-03,1549.2654109957955,1212.882090622286,1217.8268429433456
2023-05-04,2159.700629510548,3418.1133150067353,3549.145630055626
2023-05-05,-10787.421688199662,-7346.120769301642,-7298.258886917987
2023-05-08,1125.067646371959,1616.2971482688763,1646.193795979171
2023-05-09,370.5049811768999,370.5049811768999,336.8551831657385
2023-05-10,4045.1253137167387,6290.616309067067,6200.543329228466
2023-05-11,2614.754895046859,1340.2914837381722,1379.7830110528466
2023-05-12,4407.864561720551,6475.296358657929,5911.550586764183
2023-05-15,-1022.7276575713139,-1022.7276575713139,-880.4121285662173
2023-05-16,-86.66920833961672,687.8485046791918,450.72903477110935
2023-05-17,-4513.716190506695,-2289.424009460492,-2899.81924576406
2023-05-18,0.0,0.0,0.0
2023-05-19,4893.39395430182,3385.8663961908755,3561.3524177496247
2023-05-22,0.0,0.0,0.0
