Pool,Ticker,Type,Trade_Count,Win_Count,Total_Return,Avg_Return,Return_Std,Win_Rate
Final,KTOS,Normal,407,209,0.2716058877770294,0.0006673363336044948,0.029499551057724966,0.5135135135135135
Final,KTOS,TOTM,82,35,0.016796655205373413,0.0002048372586021148,0.023905320940789607,0.4268292682926829
Final,LRCX,Holiday,18,9,-0.04482505248574943,-0.002490280693652746,0.018080017806574214,0.5
Final,LRCX,Normal,456,224,-0.2548302739884671,-0.0005588383201501471,0.02585912258186275,0.49122807017543857
Final,LRCX,TOTM,92,34,-0.5530063665979826,-0.006010938767369377,0.020365101737085174,0.3695652173913043
Final,LTBR,Holiday,32,18,0.22537825534158162,0.007043070479424426,0.06624062524055663,0.5625
Final,LTBR,Normal,507,292,1.5668312150207937,0.0030903968738082714,0.07558675668816216,0.5759368836291914
Final,LTBR,TOTM,115,70,1.1337271939883151,0.009858497339028827,0.07391399730038736,0.6086956521739131
Final,MRVL,Holiday,27,9,-0.21615173268934856,-0.008005619729235133,0.03604667817073864,0.3333333333333333
Final,MRVL,Normal,457,236,0.5155013239474024,0.0011280116497754977,0.028433401608552258,0.5164113785557987
Final,MRVL,TOTM,103,43,-0.45321757082288333,-0.004400170590513431,0.024689633949064024,0.4174757281553398
Final,MSFT,Holiday,14,9,0.002104006507446032,0.00015028617910328802,0.014752754918671214,0.6428571428571429
Final,MSFT,Normal,314,158,0.21838196883761282,0.0006954839771898498,0.016145317589249236,0.5031847133757962
Final,MSFT,TOTM,59,30,0.14312463656649024,0.002425841297737123,0.017425723648160116,0.5084745762711864
Final,MU,Holiday,25,12,0.014031269460204696,0.0005612507784081879,0.019405721823837128,0.48
Final,MU,Normal,462,220,0.1010478491667361,0.00021871828823968853,0.025924349016642916,0.47619047619047616
Final,MU,TOTM,93,39,-0.4988167291809121,-0.005363620743880775,0.0196303399819139,0.41935483870967744
Final,NVDA,Holiday,23,12,-0.047317103423190426,-0.002057265366225671,0.02292891033742604,0.5217391304347826
Final,NVDA,Normal,483,232,-0.12745042840145587,-0.00026387252257030204,0.029233366692085688,0.4803312629399586
Final,NVDA,TOTM,93,38,-0.528156333371662,-0.005679100358835076,0.02189708688704613,0.40860215053763443
Final,ON,Holiday,24,13,-0.01453593923899102,-0.0006056641349579591,0.02125636522944252,0.5416666666666666
Final,ON,Normal,465,214,-1.0678212754664544,-0.002296389839712805,0.0279366503699754,0.46021505376344085
Final,ON,TOTM,98,39,-0.5029483921179911,-0.005132126450183583,0.02617441685937664,0.3979591836734694
Final,OPEN,Holiday,32,16,-0.585000029306096,-0.0182812509158155,0.0633759293987249,0.5
Final,OPEN,Normal,476,261,1.5952013860089234,0.0033512634159851332,0.0676559520394221,0.5483193277310925
Final,OPEN,TOTM,98,60,1.0866314955887402,0.01108807648559939,0.050385400864054665,0.6122448979591837
Final,PANW,Holiday,16,11,0.08357716893798635,0.005223573058624147,0.008801503151501975,0.6875
Final,PANW,Normal,364,178,0.017842637501471983,4.90182348941538e-05,0.019278066302208227,0.489010989010989
Final,PANW,TOTM,68,34,-0.10856031442517985,-0.001596475212134998,0.016687141134112345,0.5
