Ticker,Pool,Threshold,Events,Win Rate,Avg Return,Avg Intraday DD
BE,Asset,-0.005,641,0.49765990639625585,0.0012300851421576324,-0.03599902842786888
APP,Asset,-0.005,394,0.5253807106598984,0.0012117407854382633,-0.029356587482628524
SOFI,Asset,-0.005,415,0.4963855421686747,0.0011942823539581751,-0.02871791123573227
BB,Toxic,-0.005,738,0.46612466124661245,0.0010289320105035115,-0.020978599265836954
AMZN,Asset,-0.005,542,0.5129151291512916,0.0009887454810698353,-0.014524479570330096
AMD,Asset,-0.005,799,0.5118898623279099,0.0008983215075357559,-0.0219818007314376
GRAB,Asset,-0.005,380,0.5394736842105263,0.0008808297679013424,-0.027387054968979953
MCD,Asset,-0.005,303,0.5412541254125413,0.0008727960699225716,-0.010296710826752946
NVO,Asset,-0.005,876,0.5182648401826484,0.0008486457566661507,-0.008306043511249367
ADBE,Asset,-0.005,573,0.5584642233856894,0.0008323423163023158,-0.014409266139071772
GOOG,Asset,-0.005,569,0.5254833040421792,0.0008242465725131086,-0.01118378944685182
VST,Asset,-0.005,394,0.5025380710659898,0.0008153172749295165,-0.020184756132677884
BBBY,Toxic,-0.005,832,0.5132211538461539,0.0007177984521263361,-0.03360894161017301
KTOS,Asset,-0.005,600,0.5016666666666667,0.0007073487393608704,-0.02327283195979083
ANET,Asset,-0.005,650,0.5338461538461539,0.0006862076671619413,-0.017998405625826667
MRVL,Asset,-0.005,790,0.5063291139240507,0.0006002278377440415,-0.01894282507255416
BRK-B,Asset,-0.005,305,0.5311475409836065,0.0005756103136764764,-0.00965132863251655
ORCL,Asset,-0.005,549,0.5209471766848816,0.0005645231908450412,-0.012140010646355738
STX,Asset,-0.005,688,0.5247093023255814,0.00041785548456285367,-0.017999027198183446
POWI,Asset,-0.005,753,0.5166002656042497,0.0003868190944186174,-0.01694776871487635
MSFT,Asset,-0.005,523,0.5296367112810707,0.00038632424283797093,-0.011507075597272355
UNH,Asset,-0.005,407,0.5331695331695332,0.0003700337811968205,-0.0133603063986477
DUOL,Asset,-0.005,324,0.5123456790123457,0.0003615869336210484,-0.028820907932978507
MGK,Asset,-0.005,430,0.5255813953488372,0.000320924099034322,-0.01012573212657177
CCJ,Asset,-0.005,682,0.48533724340175954,0.0002751829847943158,-0.020049529357631907
GLW,Asset,-0.005,568,0.5105633802816901,0.0002643751841338044,-0.013217161967462355
NLR,Asset,-0.005,500,0.46,0.00025581438624574506,-0.006713477402512698
U,Asset,-0.005,486,0.49588477366255146,0.00020171852247501687,-0.030341592979997816
VOO,Asset,-0.005,347,0.5244956772334294,0.0001833835135257207,-0.008721783661956353
MU,Asset,-0.005,880,0.5113636363636364,8.658692257798445e-05,-0.0188053829348587
IBM,Asset,-0.005,377,0.47480106100795755,6.123767256937215e-05,-0.011423627728410343
LRCX,Asset,-0.005,762,0.5078740157480315,5.8523211330348554e-05,-0.01670743091491257
UUUU,Asset,-0.005,725,0.4606896551724138,-1.854630272759377e-05,-0.03012092175912481
LCID,Toxic,-0.005,410,0.4585365853658537,-0.00015364353343144406,-0.034760960873777905
TSM,Asset,-0.005,779,0.472400513478819,-0.000175074014550221,-0.011857142104052788
OSCR,Asset,-0.005,397,0.4760705289672544,-0.00019101421024307245,-0.03200214542732257
LUMN,Asset,-0.005,614,0.4788273615635179,-0.0002449071288844411,-0.02634565609326408
PTON,Toxic,-0.005,556,0.4766187050359712,-0.0002821040365499681,-0.03475708519868873
BYND,Toxic,-0.005,556,0.45863309352517984,-0.0003464436741990052,-0.033211216412379875
GLD,Asset,-0.005,465,0.44516129032258067,-0.0005043551378559464,-0.005298237417613971
SIVR,Asset,-0.005,755,0.4649006622516556,-0.0007287933517838307,-0.00925624450766371
QCOM,Asset,-0.005,673,0.537890044576523,-0.0008445704167574679,-0.01435355816513387
DNA,Toxic,-0.005,408,0.4534313725490196,-0.0009186313365993774,-0.04505383511172363
AMC,Toxic,-0.005,744,0.4543010752688172,-0.0009261978772722839,-0.03614203257924241
ON,Asset,-0.005,810,0.4641975308641975,-0.0010702333391534508,-0.019749561703359984
QBTS,Asset,-0.005,276,0.4420289855072464,-0.001130916627603122,-0.04954687128754922
CLOV,Toxic,-0.005,448,0.453125,-0.0011986644979954633,-0.033795913640679145
AFRM,Toxic,-0.005,474,0.47257383966244726,-0.0012019894734142294,-0.038960684352311266
PSNY,Toxic,-0.005,323,0.43962848297213625,-0.0012735348499567482,-0.03471589646005619
OPEN,Toxic,-0.005,501,0.45708582834331335,-0.0015272314262898953,-0.04271897738644235
RXRX,Asset,-0.005,384,0.4739583333333333,-0.001585960559914133,-0.04024406283383889
