Ticker,Pool,Threshold,Events,Win Rate,Avg Fade Return
GLD,Asset,0.01,183,0.43169398907103823,0.00012689368404688285
GLW,Asset,0.01,267,0.4157303370786517,-0.0032993915892127064
GME,Toxic,0.01,429,0.49184149184149184,-0.005868030133943069
GOOG,Asset,0.01,260,0.47692307692307695,-0.0009090470947640127
GRAB,Asset,0.01,308,0.6071428571428571,0.005727241521118009
HIMS,Asset,0.01,367,0.55858310626703,0.0017748369849948833
HOOD,Asset,0.01,282,0.5177304964539007,0.00011226112001731979
IBM,Asset,0.01,144,0.4375,-0.002114509203250625
IONQ,Asset,0.01,415,0.5855421686746988,0.004830649062045657
IREN,Asset,0.01,401,0.5286783042394015,0.001280580164820972
KOSS,Toxic,0.01,751,0.6418109187749668,0.010066303336786195
KTOS,Asset,0.01,463,0.5140388768898488,0.0010592551135139834
LCID,Toxic,0.01,347,0.5446685878962536,0.0026692819711424793
LEU,Asset,0.01,835,0.615568862275449,0.008782031045875712
LRCX,Asset,0.01,552,0.4384057971014493,-0.0020844121240909093
LTBR,Asset,0.01,1012,0.6284584980237155,0.013692157446859702
LUMN,Asset,0.01,327,0.44954128440366975,-0.004181601158304965
MARA,Toxic,0.01,1029,0.6025267249757046,0.007849109417318067
MCD,Asset,0.01,99,0.5050505050505051,0.00013714723352986903
MGK,Asset,0.01,185,0.41621621621621624,-0.0007846235330731555
MP,Asset,0.01,410,0.5414634146341464,0.003038315795032284
MRVL,Asset,0.01,601,0.49750415973377704,0.00056934742916046
MSFT,Asset,0.01,264,0.4393939393939394,-0.0012685257456616257
MU,Asset,0.01,706,0.4631728045325779,-0.0015944493867038727
NET,Asset,0.01,394,0.5177664974619289,0.0004786571585671884
NLR,Asset,0.01,278,0.5215827338129496,0.0016595474364155636
NVDA,Asset,0.01,646,0.4458204334365325,-0.0017261079549991398
NVO,Asset,0.01,548,0.4981751824817518,4.437352771191393e-06
NVTS,Asset,0.01,336,0.5416666666666666,-0.0020014861623543047
OKLO,Asset,0.01,187,0.5347593582887701,-0.004266224591991339
ON,Asset,0.01,568,0.4894366197183099,-0.0013121584493987312
ONDS,Asset,0.01,420,0.5833333333333334,0.008288264647767196
OPEN,Toxic,0.01,473,0.5602536997885835,0.0033877909822006115
ORCL,Asset,0.01,232,0.5086206896551724,0.0012521766475526706
OSCR,Asset,0.01,265,0.4867924528301887,-0.000746001868396348
PANW,Asset,0.01,355,0.48169014084507045,-0.0012711309622430193
PLTR,Asset,0.01,346,0.5375722543352601,0.0010851227104656507
POWI,Asset,0.01,423,0.47754137115839246,-0.002133043933189624
PSNY,Toxic,0.01,279,0.5698924731182796,0.00935568953244097
PTON,Toxic,0.01,359,0.479108635097493,-0.0011926608638850099
QBTS,Asset,0.01,411,0.6301703163017032,0.008545531350325493
QCOM,Asset,0.01,395,0.4708860759493671,-0.0009129351622153723
REAL,Toxic,0.01,444,0.5180180180180181,0.0004105549831525908
REMX,Asset,0.01,618,0.40129449838187703,-0.0026837129278507567
RENT,Toxic,0.01,289,0.5674740484429066,0.009557619754894369
RIOT,Toxic,0.01,905,0.5712707182320442,0.00327930345324591
RXRX,Asset,0.01,353,0.5127478753541076,0.001609441698418786
SHOP,Asset,0.01,576,0.4895833333333333,-0.0004830939661105174
SIVR,Asset,0.01,514,0.4961089494163424,3.16960190615439e-05
SMR,Asset,0.01,329,0.5957446808510638,0.007952958544271527
SOFI,Asset,0.01,368,0.5163043478260869,0.003401109914399758
SOUN,Asset,0.01,338,0.5769230769230769,0.006434123859900778
SPOT,Asset,0.01,361,0.49584487534626037,0.0009304662125354476
STX,Asset,0.01,387,0.4806201550387597,0.0003422064135172958
TMDX,Asset,0.01,340,0.5411764705882353,0.0021417640351105325
TSLA,Asset,0.01,675,0.5185185185185185,-0.000622404383978824
TSM,Asset,0.01,564,0.4858156028368794,-0.0001386153459388342
TTD,Asset,0.01,499,0.5070140280561122,-0.002189694997016868
U,Asset,0.01,353,0.5325779036827195,0.001522563002712387
UAMY,Asset,0.01,894,0.5782997762863534,0.018071362078996126
UBER,Asset,0.01,320,0.509375,-0.0004865308156983346
UNH,Asset,0.01,170,0.5294117647058824,-0.00043890905757246337
UPST,Toxic,0.01,401,0.4937655860349127,-0.004005342608077524
UUUU,Asset,0.01,824,0.5800970873786407,0.005322962886451922
V,Asset,0.01,194,0.42783505154639173,-0.001136894143713256
VOO,Asset,0.01,123,0.37398373983739835,-0.0005270116182047334
VST,Asset,0.01,255,0.47843137254901963,-0.00176662881577032
WWR,Asset,0.01,918,0.6525054466230937,0.014705060932084145
ABAT,Asset,0.015,780,0.6333333333333333,0.01593849225196206
ABNB,Asset,0.015,119,0.4957983193277311,0.003300702727814031
ACHR,Asset,0.015,268,0.5410447761194029,0.0013700771739425716
ADBE,Asset,0.015,157,0.5095541401273885,0.0013914123538939767
AFRM,Toxic,0.015,259,0.5057915057915058,-0.004102064472074343
AMC,Toxic,0.015,348,0.5919540229885057,0.004288221625722651
