Group,Ticker,Avoided Days,Avoided %,Total Ret (B&H),Total Ret (Strat),Total Ret Delta,MDD (B&H),MDD (Strat),MDD Improv,Calmar (B&H),Calmar (Strat),CAGR (B&H),CAGR (Strat),Win Rate (B&H),Win Rate (Strat)
Group B (Toxic),MARA,691,46.2,10.27619113359863,283.06599652179347,272.78980538819485,-0.9586016526879654,-0.7602181684334665,0.19838348425449892,0.5265801376779956,2.0956650191317285,0.5047805902507829,1.593162622494408,0.46519410977242304,0.6291834002677377
Group A (Final),MP,558,40.5,5.000999832153341,51.503469673210965,46.502469841057625,-0.8199450725483279,-0.6421503901231718,0.17779468242515617,0.47372499010698427,1.6593370073092848,0.38842847138122716,1.0655439065894736,0.4898255813953488,0.6300872093023255
Group A (Final),ACHR,509,40.7,-0.14142425372595513,11.339195008420221,11.480619262146176,-0.9049008136945413,-0.6237821125431263,0.281118701151415,-0.03345380140870251,1.057420500517659,-0.030272372115910495,0.6595999936593153,0.448,0.6056
Group A (Final),EOSE,544,42.4,0.6325720985381413,29.00073587611029,28.36816377757215,-0.9788107762940129,-0.811393255120687,0.16741752117332587,0.10324843129114167,1.171355464834186,0.10106067718322143,0.9504299235152156,0.4489477786438036,0.627435697583788
Group A (Final),IREN,467,45.7,0.7971369020696228,17.308772647789194,16.51163574571957,-0.9572580655085062,-0.9162023602493132,0.041055705259193,0.16279498532623146,1.1470514641108032,0.15583681272787397,1.0509312587457482,0.4764705882352941,0.6460784313725491
Group B (Toxic),OPEN,607,44.0,-0.3474638786139601,20.849019283681873,21.196483162295834,-0.9857302115641886,-0.8543531697273029,0.1313770418368857,-0.0761844431423259,0.8868800211324495,-0.07509730725658481,0.7577087572223256,0.46734397677793904,0.6429608127721336
Group A (Final),OPEN,607,44.0,-0.3474638786139601,20.849019283681873,21.196483162295834,-0.9857302115641886,-0.8543531697273029,0.1313770418368857,-0.0761844431423259,0.8868800211324495,-0.07509730725658481,0.7577087572223256,0.46734397677793904,0.6429608127721336
Group B (Toxic),KOSS,504,33.7,2.1258276953654778,52.37856737179651,50.25273967643103,-0.9642187505960463,-0.8167741555281502,0.1474445950678961,0.21982503307967052,1.170426447530084,0.21195941874581448,0.9559740732891973,0.4223560910307898,0.5595716198125836
Group A (Final),SOFI,500,40.3,1.2188524686915332,7.010159193005052,5.791306724313518,-0.8332040311790083,-0.4651909770819909,0.3680130540970174,0.21083707308046878,1.1302704272387714,0.17567029921262978,0.5257916044140833,0.49153908138597907,0.621273166800967
Group A (Final),CIFR,519,40.1,0.9070706957834598,29.69880938555653,28.79173868977307,-0.9716253452143285,-0.9245364129989512,0.047088932215377355,0.13810537801863731,1.0276544314038594,0.13418668559331381,0.9501039418126009,0.4674922600619195,0.6222910216718266
Group B (Toxic),RIOT,695,46.5,11.90983576282507,102.3443758075132,90.43454004468813,-0.9577663684543053,-0.8315562507981181,0.12621011765618717,0.563306517254684,1.4269017445551526,0.5395160373576611,1.1865490649595767,0.47523427041499333,0.6338688085676037
Group B (Toxic),RENT,396,38.2,-0.9854069458460892,0.041487445885632246,1.0268943917317215,-0.9900000000505927,-0.8504633110799291,0.13953668897066362,-0.6492114543983813,0.011695407173360912,-0.642719339887243,0.009946514709084475,0.43478260869565216,0.6231884057971014
Group A (Final),FUBO,583,39.0,-0.7251755329838823,6.561906792022583,7.287082325006465,-0.9832258070668867,-0.9550918653591113,0.02813394170777539,-0.19910507113290316,0.4258276123836887,-0.19576524425575859,0.40670448863295383,0.4384203480589023,0.5856760374832664
Group B (Toxic),BBBY,577,38.6,-0.09232955950135402,9.189897526632995,9.282227086134348,-0.969914976488404,-0.8283872327960173,0.14152774369238663,-0.016710126832246156,0.5785796799788767,-0.016207402273616278,0.47928802004970694,0.45582329317269077,0.606425702811245
Group A (Final),NLR,475,31.8,2.181912136256653,7.086803133082929,4.904890996826277,-0.3434790877001886,-0.3524524558919874,-0.008973368191798836,0.627695396106007,1.1993632911341736,0.2156002420080998,0.4227185374669362,0.534805890227577,0.6091030789825971
Group A (Final),TMDX,527,35.3,5.69218693177114,21.118622605950122,15.426435674178983,-0.7369301546635589,-0.6649043878774299,0.07202576678612904,0.5129525999386143,1.0315468406332478,0.3780102388078377,0.6858800206381463,0.4879518072289157,0.6171352074966533
Group A (Final),GRAB,486,38.4,-0.5643398083459589,2.366568223196968,2.930908031542927,-0.8645955442500985,-0.8109604645279642,0.05363507972213433,-0.17669606615459907,0.3379346758832627,-0.152770631483787,0.27405166173439777,0.4718923198733175,0.6049089469517023
Group B (Toxic),AMC,553,37.0,-0.9708679394771684,0.2538108670764092,1.2246788065535776,-0.9966906475887406,-0.989115288124525,0.007575359464215614,-0.45071141886758576,0.03931722006200229,-0.44921985594677416,0.03888926344988275,0.4357429718875502,0.5836680053547524
Group B (Toxic),CLOV,494,35.7,-0.730392151821215,1.8518364208252458,2.5822285726464607,-0.9719187363552454,-0.9100997219994423,0.06181901435580306,-0.21873913870006878,0.23136880994950798,-0.2125966672768056,0.21056868961438902,0.45296671490593343,0.5918958031837916
Group A (Final),DOCN,440,37.1,0.15694113338694726,2.8337044441034345,2.6767633107164874,-0.8478427719127221,-0.748846709997578,0.0989960619151441,0.037105706537549805,0.4413116931560441,0.03145980508457624,0.3304748095033643,0.4974704890387858,0.6197301854974705
Group B (Toxic),BZFD,330,27.5,-0.9696118472457272,-0.4854424629905155,0.4841693842552117,-0.9833499501341467,-0.8637978924018304,0.11955205773231636,-0.5289609206480362,-0.1508892469909732,-0.5201536949421588,-0.13033781353690188,0.42368640533778146,0.5396163469557965
Group B (Toxic),GME,483,32.3,12.857369767722858,32.702713499904114,19.845343732181256,-0.8847802946955916,-0.8127461243335667,0.07203417036202486,0.6306861755685451,0.9966203407630992,0.558018700279973,0.8099993193872075,0.4745649263721553,0.5876840696117804
Group A (Final),TSM,571,38.2,4.668496923292002,7.426507176022794,2.7580102527307915,-0.5646656215980842,-0.4514787472722326,0.11318687432585162,0.6020507217647023,0.9582458840545378,0.3399573450388409,0.43262765131171577,0.5120481927710844,0.5943775100401606
