Group,Ticker,Max Drawdown_MOC (Delayed),Max Drawdown_MOO (Benchmark),Total Return_MOC (Delayed),Total Return_MOO (Benchmark),Win Rate_MOC (Delayed),Win Rate_MOO (Benchmark),Diff_Total_Return,Diff_Win_Rate,Diff_Max_Drawdown
Group A (Final Pool),ON,-0.5090884465697304,-0.37473404719543035,-0.3750512876266465,-0.14184399122438407,0.49869451697127937,0.49222797927461137,-0.23320729640226245,0.0064665376966679955,-0.13435439937430005
Group A (Final Pool),ABNB,-0.4081390113994359,-0.39861757105884815,-0.2786494261438873,-0.0403964205399483,0.518840579710145,0.5186246418338109,-0.23825300560393903,0.00021593787633411576,-0.009521440340587772
Group A (Final Pool),UNH,-0.3499964645488474,-0.4623925775125266,-0.253570883932693,-0.01020795880683889,0.5194805194805194,0.5402597402597402,-0.2433629251258541,-0.020779220779220786,0.11239611296367918
Group A (Final Pool),CEG,-0.14501950846089667,-0.31535460991815806,0.6234535795863199,0.8777294927214399,0.5666666666666667,0.5333333333333333,-0.25427591313512,0.033333333333333326,0.17033510145726138
Group A (Final Pool),ANET,-0.19441215371420145,-0.259148936054058,0.3313206873514323,0.5888535065100851,0.5604395604395604,0.5106951871657754,-0.2575328191586528,0.049744373273785,0.06473678233985652
Group A (Final Pool),MP,-0.36584303248059197,-0.44847512767121167,0.7931751892878498,1.0926400905737954,0.5077319587628866,0.5089514066496164,-0.2994649012859456,-0.0012194478867297853,0.0826320951906197
Group A (Final Pool),ADBE,-0.4339581698317929,-0.4500878301028311,-0.29154537987592843,0.011990115584587624,0.5319693094629157,0.5289672544080605,-0.30353549546051606,0.0030020550548551794,0.016129660271038182
Group A (Final Pool),HOOD,-0.641601246819107,-0.7383039569861036,-0.48776132786043,-0.18205080497167436,0.4444444444444444,0.4852459016393443,-0.30571052288875566,-0.04080145719489986,0.09670271016699661
Group A (Final Pool),MU,-0.28205655178468236,-0.3014001012495616,0.5013152073605633,0.861231663049498,0.555,0.555,-0.3599164556889347,0.0,0.01934354946487926
Group A (Final Pool),KTOS,-0.20053959796832538,-0.4270175599929262,0.570310904455235,0.9364331076303947,0.5504087193460491,0.544,-0.36612220317515964,0.00640871934604903,0.2264779620246008
