Group,Ticker,Strategy,Win Rate,Avg Trade %,Trades,Total Return,Max Drawdown
Group A (Final Pool),SOFI,MOC (No Delay),0.46467391304347827,0.00042103407195721865,368,-0.25005483488569347,-0.7441883489998704
Group A (Final Pool),PLTR,MOC (No Delay),0.4638888888888889,-0.0014472363008283923,360,-0.5810548907253218,-0.7853159096967264
Group A (Final Pool),BROS,MOC (No Delay),0.4627831715210356,-0.0005419328369875615,309,-0.35809352111019854,-0.6153634432118915
Group A (Final Pool),SOUN,MOC (No Delay),0.4583333333333333,0.0028744823772206465,288,-0.33921119583951764,-0.7770552690206093
Group A (Final Pool),U,MOC (No Delay),0.45714285714285713,0.0006493230655987019,385,-0.22996990318528188,-0.7050884880684611
Group A (Final Pool),FUBO,MOC (No Delay),0.45670995670995673,-0.0002465279260697394,462,-0.6392936143457764,-0.8359986480780998
Group A (Final Pool),IREN,MOC (No Delay),0.4533762057877814,-0.0011736770110668477,311,-0.6737703159063186,-0.8475008627401297
Group A (Final Pool),IONQ,MOC (No Delay),0.4533333333333333,-0.002247165463637904,375,-0.7604682927216558,-0.8852389176875451
Group A (Final Pool),UPST,MOC (No Delay),0.45144356955380577,-0.0031422196240773383,381,-0.8888451354542289,-0.943033868063268
Group A (Final Pool),ONDS,MOC (No Delay),0.45036319612590797,-0.001877770062122969,413,-0.8032534569032685,-0.9624227411425558
Group A (Final Pool),ABAT,MOC (No Delay),0.4492481203007519,0.0022078389988210443,532,-0.18082485063701914,-0.8166954490159257
Group A (Final Pool),NVTS,MOC (No Delay),0.4491017964071856,0.0029019130419484025,334,-0.1735311052458578,-0.8073047566379118
Group A (Final Pool),ACHR,MOC (No Delay),0.4485294117647059,-0.000699944590213819,408,-0.5430664145451757,-0.7811039453885319
Group A (Final Pool),EOSE,MOC (No Delay),0.43795620437956206,0.004029966161961924,411,0.8401976259460162,-0.875433014177914
Group B (Toxic Pool),BIRD,MOC (Delayed),0.5964285714285714,0.002591799459636474,280,0.8123899364166169,-0.36381433221122356
Group B (Toxic Pool),PSNY,MOC (Delayed),0.5609756097560976,0.0019847222928393174,328,0.7951300868288671,-0.26341165805430256
Group B (Toxic Pool),LCID,MOC (Delayed),0.559322033898305,0.0017803389709493591,413,0.7860883435131474,-0.4633098888135577
Group B (Toxic Pool),DNA,MOC (Delayed),0.5571428571428572,0.0011101353454619222,350,0.2962841299599379,-0.27476393136225913
Group B (Toxic Pool),CLOV,MOC (Delayed),0.5569007263922519,0.003495261171319098,413,2.715812770091799,-0.2283670962792979
Group B (Toxic Pool),AMC,MOC (Delayed),0.5521472392638037,0.005588294390008018,489,4.913502904470448,-0.7828898338622453
Group B (Toxic Pool),RENT,MOC (Delayed),0.5521472392638037,0.003535731706044598,326,1.823020175317836,-0.231321472259358
Group B (Toxic Pool),OPEN,MOC (Delayed),0.5487804878048781,0.0027831206391106434,410,1.5248352635105058,-0.42073519646530755
Group B (Toxic Pool),MARA,MOC (Delayed),0.5296610169491526,0.0029402150525510307,472,1.163597732404348,-0.6061478837490808
Group B (Toxic Pool),BYND,MOC (Delayed),0.524896265560166,0.0004436797823823253,482,-0.31516032013795503,-0.7124305718146954
Group B (Toxic Pool),RIOT,MOC (Delayed),0.5201793721973094,0.0011983409085117346,446,0.10888340195175039,-0.6377214895096942
Group B (Toxic Pool),BBBY,MOC (Delayed),0.5188284518828452,0.0006510352398845262,478,0.13300044795180743,-0.3738454736046765
Group B (Toxic Pool),KOSS,MOC (Delayed),0.5138248847926268,0.005584414198916139,434,5.833195289211232,-0.2502604618779959
Group B (Toxic Pool),BB,MOC (Delayed),0.5097560975609756,-0.0016741838476284504,410,-0.5569340735409732,-0.598283116884605
Group B (Toxic Pool),REAL,MOC (Delayed),0.508557457212714,-0.0010409713100054902,409,-0.43947592962794635,-0.5781126161544524
Group B (Toxic Pool),CVNA,MOC (Delayed),0.508235294117647,0.003381778314380253,425,1.6094380407346822,-0.561429428765471
Group B (Toxic Pool),UPST,MOC (Delayed),0.49868073878627966,-0.001233772750294517,379,-0.6044572473001991,-0.8446185154859963
Group B (Toxic Pool),AFRM,MOC (Delayed),0.494475138121547,0.0010242618540094901,362,0.15711832237997547,-0.5059653580459355
Group B (Toxic Pool),PTON,MOC (Delayed),0.4760820045558087,0.0002613989740243227,439,-0.04709913656646236,-0.4811064242258019
Group B (Toxic Pool),BZFD,MOC (Delayed),0.47126436781609193,-0.0017880441379682624,348,-0.5483004815005175,-0.7259770664383746
Group B (Toxic Pool),GME,MOC (Delayed),0.4636363636363636,0.0010313358718084635,440,0.2707559771192727,-0.501767247685135
Group B (Toxic Pool),BIRD,MOC (No Delay),0.5181518151815182,-0.0010140762964940867,303,-0.6231344729609232,-0.8550127415656052
