Group,Ticker,Max Drawdown_MOC (Delayed),Max Drawdown_MOC (No Delay),Total Return_MOC (Delayed),Total Return_MOC (No Delay),Win Rate_MOC (Delayed),Win Rate_MOC (No Delay),Diff_Total_Return,Diff_Win_Rate,Diff_Max_Drawdown
Group A (Final Pool),SOFI,-0.30025995576614556,-0.7441883489998704,1.9824339761786702,-0.25005483488569347,0.5376044568245125,0.46467391304347827,2.2324888110643637,0.07293054378103425,0.44392839323372485
Group A (Final Pool),OKLO,-0.1610183618259492,-0.5160342268131688,2.1320381081450615,-0.046525987634793764,0.5669291338582677,0.6144578313253012,2.1785640957798553,-0.047528697467033476,0.3550158649872196
Group A (Final Pool),ONDS,-0.5035120744523791,-0.9624227411425558,1.2288112390781918,-0.8032534569032685,0.5129533678756477,0.45036319612590797,2.03206469598146,0.06259017174973974,0.45891066669017666
Group B (Toxic Pool),OPEN,-0.42073519646530755,-0.8347633345714068,1.5248352635105058,-0.425612017674574,0.5487804878048781,0.4801864801864802,1.9504472811850797,0.0685940076183979,0.4140281381060993
Group A (Final Pool),OPEN,-0.42073519646530755,-0.8347633345714068,1.5248352635105058,-0.425612017674574,0.5487804878048781,0.4801864801864802,1.9504472811850797,0.0685940076183979,0.4140281381060993
Group B (Toxic Pool),PSNY,-0.26341165805430256,-0.9611324553751407,0.7951300868288671,-0.9365492645016275,0.5609756097560976,0.43646408839779005,1.7316793513304947,0.12451152135830756,0.6977207973208381
Group A (Final Pool),SOUN,-0.37351837095538565,-0.7770552690206093,1.3799250342786316,-0.33921119583951764,0.4961832061068702,0.4583333333333333,1.7191362301181492,0.03784987277353691,0.40353689806522364
Group B (Toxic Pool),LCID,-0.4633098888135577,-0.9345976780121235,0.7860883435131474,-0.9025172686163595,0.559322033898305,0.430952380952381,1.688605612129507,0.12836965294592406,0.47128778919856573
Group A (Final Pool),LEU,-0.46207209016059303,-0.6705463862534624,1.9705659967999485,0.3941966731877433,0.5728155339805825,0.5035460992907801,1.5763693236122052,0.0692694346898024,0.20847429609286938
Group A (Final Pool),LTBR,-0.2779170063976224,-0.4792860882196718,8.909367442917414,7.358901504729005,0.6204379562043796,0.5154867256637168,1.5504659381884096,0.1049512305406628,0.20136908182204938
Group B (Toxic Pool),MARA,-0.6061478837490808,-0.9249316942177872,1.163597732404348,-0.28268666767060024,0.5296610169491526,0.47401247401247404,1.4462844000749482,0.055648542936678536,0.3187838104687064
Group B (Toxic Pool),BIRD,-0.36381433221122356,-0.8550127415656052,0.8123899364166169,-0.6231344729609232,0.5964285714285714,0.5181518151815182,1.4355244093775401,0.07827675624705321,0.4911984093543817
Group A (Final Pool),APP,-0.36134353626462434,-0.7529699039461378,0.8168037193617672,-0.30066577351817114,0.5017421602787456,0.5068027210884354,1.1174694928799385,-0.005060560809689751,0.3916263676815135
